MissionID,MissionNameShort,MissionNameFull,MissionAgencies,MissionStatus,LaunchDate,EOLDate,Applications,Instruments,InstrumentIDs,OrbitType,OrbitAltitude,OrbitPeriod,OrbitInclination,RepeatCycle,OrbitLST,OrbitLongitude,OrbitSense,MissionSite,DataAccessPortal
654,3D Winds,Three Dimensional Tropospheric Winds from Space Based Lidar,NASA,Cancelled,3-Jan-30,3-Apr-33,"Phase-3 DS Mission, launch order unknown, 3-year nominal mission. Tropospheric winds for weather forecasting and pollution transport.",HDWL (3D Winds),1551,Sun-synchronous,400 km,,97.03 deg,12,6:00,,Ascending,https://eospso.nasa.gov/missions/3d-winds-demo,
648,ACE,Aerosol Clouds and Ecosystem Mission,NASA,Cancelled,3-Jan-22,3-Apr-23,"Phase-2 DS Mission, launch order unknown, 3-year nominal mission. Aerosol and cloud profiles for climate and water cycle; ocean colour for open ocean biogeochemistry.","Cloud Radar, Lidar, Multi-band UV/VIS Spectrometer (ACE), Next Gen APS (ACE), OCI","1530, 1533, 1532, 1531, 1597",Sun-synchronous,650 km,,98.2 deg,,13:00,,Ascending,https://eospso.nasa.gov/missions/aerosol-cloud-ecosystems,
147,ACRIMSAT,Active Cavity Radiometer Irradiance Monitor,NASA,Mission complete,20-Dec-99,14-Dec-13,"5-year nominal mission life, currently being decommissioned due to age-related degradation of batteries. Operational mission will end in 2014.",ACRIM III,418,Sun-synchronous,600 km,98.5 mins,97.81 deg,1,18:00,,Descending,http://acrim.jpl.nasa.gov/,https://reverb.echo.nasa.gov
240,ADEOS,Advanced Earth Observing Satellite,"JAXA, MOE (Japan), MITI (Japan), CNES, NASA",Mission complete,17-Aug-96,30-Jun-97,"An earth observation satellite acquiring global-scale observation data such as maritime meteorological conditions, atmospheric ozone, and gases that promote global warming.","ADEOS Comms, AVNIR, ILAS, IMG, NSCAT, OCTS, POLDER, RIS, SEM (JAXA), TOMS","301, 358, 333, 332, 425, 359, 390, 89, 455, 415",Sun-synchronous,797 km,100.92 mins,98.59 deg,41,10:50,,Descending,http://www.jaxa.jp/projects/sat/adeos/index_e.html,
241,ADEOS-II,Advanced Earth Observing Satellite - II,"JAXA, NOAA, CNES, NASA",Mission complete,1-Nov-02,24-Oct-03,"An earth observation satellite observing the changes in water on the earth, biological systems, and the ozone layer.","ADEOS Comms, AMSR, GLI, ILAS-II, POLDER-2, SeaWinds","301, 360, 362, 334, 793, 427",Sun-synchronous,803 km,101 mins,98.6 deg,4,10:30,,Descending,http://www.jaxa.jp/projects/sat/adeos2/index_e.html,
377,ADM-Aeolus,Atmospheric Dynamics Mission (Earth Explorer Core Mission),ESA,Currently being flown,22-Aug-18,Aug-22,"Will provide wind profile measurements for global 3D wind field products used for study of atmospheric dynamics, including global transport of energy, water, aerosols, and chemicals.",ALADIN,375,Sun-synchronous,405 km,92.5 mins,97.01 deg,7,18:00,,Ascending,http://www.esa.int/export/esaLP/aeolus.html,
633,AISSat-1,Automatic Identification System Satellite-1,NOSA,Currently being flown,12-Jul-10,Dec-19,Demonstrate and extend access to AIS (Automatic Identification System) signals beyond the land-based AIS system operated by the Norwegian Coastal Administration today. Observe ship traffic in the High North.,AIS,1699,Sun-synchronous,607 km,97 mins,98.03 deg,,4:00:00,,Descending,,
714,AISSat-2,Automatic Identification System Satellite-2,NOSA,Currently being flown,8-Jul-14,Dec-19,Extend access to AIS (Automatic Identification System) signals beyond the land-based AIS system operated by the Norwegian Coastal Administration today. Observe ship traffic in the High North.,AIS,1699,Sun-synchronous,619 km,97 mins,98.33 deg,,5:30:00,,Descending,,
745,AISSat-3,Automatic Identification System Satellite-3,NOSA,Mission complete,28-Nov-17,28-Nov-17,Extend performance and access to AIS (Automatic Identification System) signals beyond the land-based AIS system operated by the Norwegian Coastal Administration today. Observe ship traffic in the High North.,AIS,1699,Sun-synchronous,,,,,,,Descending,,
143,ALMAZ-1B,,ROSKOSMOS,Mission complete,1-Jan-97,1-Jan-00,,"Balkan-2 lidar, MSU-E2, MSU-SK, SAR-10, SAR-3, SAR-70, SILVA, SLR-3, SROSMO","248, 243, 195, 250, 249, 251, 252, 253, 254",Sun-synchronous,400 km,,,,,,TBD,,
242,ALOS,Advanced Land Observing Satellite,JAXA,Mission complete,24-Jan-06,22-Apr-11,"Cartography, digital terrain models, environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface.","AVNIR-2, PALSAR, PRISM","363, 364, 443",Sun-synchronous,692 km,98.7 mins,98.16 deg,46,10:30,,Descending,http://www.jaxa.jp/projects/sat/alos/index_e.html,
629,ALOS-2,Advanced Land Observing Satellite-2,JAXA,Currently being flown,24-May-14,May-24,"Environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface and ocean monitoring.","CIRC, PALSAR-2 (ALOS-2)","1666, 1589",Sun-synchronous,628 km,97 mins,97.9 deg,14,12:00,,Descending,https://global.jaxa.jp/projects/sat/alos2/index.html,
630,ALOS-3,Advanced Optical Satellite,JAXA,Approved,Apr-20,Mar-28,"Disaster monitoring, coastal and land environmental monitoring, the maintenance and updates of precise geospatial information. Mission instruments will be Optical Sensors (Pan, Multi).",,,Sun-synchronous,669 km,98 mins,98.1 deg,35,10:30,,Descending,http://global.jaxa.jp/projects/sat/alos3/,
861,ALOS-4,Advanced Land Observing Satellite-4,JAXA,Approved,Dec-20,Mar-28,"Environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface.",ALOS-4 SAR (L-band),1803,Sun-synchronous,628 km,97 mins,97.9 deg,14,12:00,,Descending,http://global.jaxa.jp/projects/sat/alos4/,
602,AMAZONIA-1,Amazonia 1,INPE,Planned,2020,2024,"Earth resources, environmental monitoring, land surface.",WFI-2 (Amazonia-1),1698,Sun-synchronous,752 km,99.9 mins,98.4 deg,26,10:30,,Descending,http://www.inpe.br/amazonia-1,http://www.inpe.br/catalogo
206,Aqua,Aqua (formerly EOS PM-1),"NASA, JAXA, INPE",Currently being flown,4-May-02,Sep-20,"6-year nominal mission life, currently in extended operations. Atmosphericdynamics/water and energy cycles, cloudformation, precipitationand radiativeproperties, air/seafluxes of energy andmoisture, sea ice extentand heat exchange with the atmosphere.","AIRS, AMSR-E, AMSU-A, CERES, HSB, MODIS","347, 664, 1555, 397, 442, 395",Sun-synchronous,705 km,98.8 mins,98.2 deg,16,13:30,,Ascending,https://eospso.nasa.gov/missions/aqua,https://search.earthdata.nasa.gov/search?q=AQUA&ok=AQUA
713,Arctica-M N1,Hydro-meteorological Satellite Arctica-M N1,"ROSKOSMOS, ROSHYDROMET",Planned,2020,2030,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
